title,price,location,description,bedrooms,bathrooms,floor_area,land_size,property_type,subcategories,listing_url,listing_id,geo_location,car_spaces,classification,subdivision_name
"6 Bedroom House for Sale at Corinthian Hills, Quezon City",375000000,"Ugong Norte, Quezon City","This elegant 2-storey home in the exclusive Corinthian Hills offers a perfect blend of luxury and functionality. With 6 spacious bedrooms and 7 bathrooms, this home is designed for modern, upscale living.

Key Features:

  6 beautifully designed bedrooms
  7 bathrooms plus a powder room
  2-car garage with parking for 4 more cars on the ramp
  Inviting swimming pool and relaxing jacuzzi
  Stylish lanai area for outdoor lounging
  Dedicated staff quarters for added convenience


This luxurious home offers all the space and amenities you need for a comfortable, high-end lifestyle. Schedule a viewing today. Your new home awaits at Corinthian Hills!",6,7,900,690,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/6-bedroom-house-for-sale-at-corinthian-hills-quezo-17295036562/,HO671621A8E0F67PH,"[121.070815,14.596756]",2,446,Corinthian Hills
Sleek Brand New House & Lot Kingspoint Subd Q.C. Philhomes - Gio Matias,23000000,"Novaliches, Quezon City","Project- 2 STOREY SINGLE DETACHED 
Location- Kingspoint Subdivision katipunan ave. Quezon City

Lot Area- 219.68 SQM
Floor Area- 229.09 sq.m

TCP: 23,000,000


HOUSE FEATURES:

* 2 STOREY SINGLE DETACHED
* 3 Bedrooms
- Master’s bedroom with walk in closet
- 2 bedrooms with own toilet and bath
* 3toilet & bath 
* Powder room
* Maids room with toilet & bath
* 3 Car garage
* Service area
* Garden
* Balcony 
* Lanai",3,3,229,219,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/samaka-village/sleek-brand-new-house-lot-kingspoint-subd-q-c-phil-17319069756/,NO538HO48CXVINTRESPH,"[121.0521,14.7214]",3,446,KINGSPOINT SUBD
RFO 4-Bedroom Townhouse For Sale in Sikatuna Village Quezon City,27500000,"Sikatuna Village, Quezon City","RFO 4-Bedroom Townhouse For Sale in Sikatuna Village Quezon City

Indulge in the epitome of luxury living with this prestigious 4-bedroom townhouse in the heart of exclusive Sikatuna Village, Quezon City. This brand-new property is meticulously designed for affluent families who value sophistication, comfort, and convenience. Offering an opulent lifestyle in a secure and vibrant community, this townhouse is ideal for discerning buyers seeking high-end real estate.

Key Property Features:
▪︎ Lot Area: 100 sqm
▪︎ Floor Area: 324.48 sqm
▪︎ Exquisite Design blending luxury and functionality

Ground Floor:
▪︎ Private 2-car garage for secure and convenient parking
▪︎ Cozy Family Den perfect for intimate gatherings
▪︎ Bright and open Living Room filled with natural light
▪︎ Bedroom 1 with en-suite bathroom for added convenience
▪︎ Serene Lanai for a peaceful retreat

Second Floor:
▪︎ Elegant Living Area with an open-plan design for seamless flow
▪︎ Sophisticated Dining Space perfect for hosting high-end gatherings
▪︎ Gourmet Kitchen with state-of-the-art appliances for culinary enthusiasts
▪︎ Bedroom 2 with an en-suite bathroom for privacy and comfort

Third Floor:
▪︎ Bedroom 3 with an en-suite bathroom for ultimate convenience
▪︎ Lavish Master's Suite featuring a spacious walk-in closet, luxurious en-suite bathroom, and a private balcony with serene views—your own personal sanctuary

Roof Deck:
▪︎ Help's Room with en-suite bathroom for optimal comfort
▪︎ Dedicated Service Area with laundry facilities

Premium Features & Amenities:
▪︎ Energy-Efficient Split-Type Inverter Air Conditioners throughout for maximum comfort
▪︎ Multi-Point Water Heaters for a spa-like experience
▪︎ State-of-the-art intercom System for secure and effortless communication
▪︎ 24/7 CCTV Surveillance ensuring top-tier security
▪︎ Automated Gates and Electric Fences provide ultimate safety
▪︎ Modern Pin Lights and Premium Fixtures add an elegant ambiance
▪︎ Custom Laminated Cabinets offering ample and stylish storage
▪︎ Built-in high-end Cooktop, Oven, and Range Hood for gourmet cooking
▪︎ Elevated Water Tank with Pressure Pump ensuring uninterrupted water supply

Price: PHP 27,500,000
Flexible payment options available: Spot Cash or Bank Financing.

Prime Real Estate Investment:
This luxury townhouse offers a rare opportunity to live in one of Quezon City’s most prestigious addresses, making it perfect for high-net-worth individuals and discerning homebuyers. Situated close to top international schools, high-end shopping malls, and business hubs, this home is ideal for those who appreciate both luxury and convenience.

Contact:
Richelle C. Panuelos
PRC No. 23424 | DHSUD NCR-A-12643
Marketing Manager, BRIDGE Group",4,4,321.1,100.02,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/rfo-4-bedroom-townhouse-for-sale-in-sikatuna-villa-173090356365/,HO672B7E0BE69E9PH,"[121.057875,14.636902]",N/A,N/A,Sikatuna Village
Modern Brand New House & Lot Greenview Village Q.C. Philhomes - Gio Matias,17500000,"Sauyo, Quezon City","PROJECT - 3 Storey Duplex LOCATION - Greenview Executive Village Quezon City    LOT AREA- 90 sqm FLOOR AREA- 202 sqm   TCP: 17,500,000    PROJECT FEATURES:  * Three Storey Duplex * 3 Bedrooms * 3 Toilet & bath * Maids room with toilet & bath * Entertainment room * Multi purpose deck * Powder room * Dining area * Kitchen area * Service area * 2 Car garage    Nearby establishments:  RELIGIOUS CENTERS  St. Peter Chapels Commonwealth  Iglesia ni Cristo , Calle Siete Mary the Queen Parish  NATURE PARKS  La Mesa Eco Park  La Mesa Camp Site  Quezon Memorial Circle  Wild Life  MEDICAL INSTITUTIONS   Veterans Memorial Medical Center Philippine Heart Center  East Avenue Medical Center  Commonwealth Hospital and Medical Center  Fairview General Hospital  General Malvar Hospital  Far Eastern University Nicanor Reyes Medical Foundation  BUSINESS CENTERS  UP -Ayala Land TechnoHub  EDUCATIONAL INSTITUTIONS  Far Eastern University Diliman  School of the Holy Spirit  University of the Philippines Diliman  Ateneo de Manila University  National College of Business and Arts Fairview  OB Montessori  Claret School of Quezon City  School of the Holy Spirit Quezon City  Miriam College Diliman Preparatory School  OB Montessori  St. Anthony School of Quezon City  COMMERCIAL CENTERS  Puregold North Commonwealth  Wilcon Depot  Pearl Drive  Ayala Fairview Terraces SM City Fairview  SM City North Edsa  Trinoma Ayala Terraces Fairview  Shopwise  Puregold  Wilcon Builders  Ace Builders    For Site Viewing please call/ text GIO MATIAS",4,3,202,90,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/greenview-executive-village/modern-brand-new-house-lot-greenview-village-q-c-p-170918968938/,NO538HO09DBIINTRESPH,"[121.049276,14.695099]",2,,GREENVIEW EXECUTIVE VILLAGE
Airy Brand New House & Lot Don Antonio Heights Q.C. Philhomes - Gio Matias,21800000,"Holy Spirit, Quezon City","PROJECT - Don Antonio Heights Location - Don Antonio Heights Quezon City    HOUSE FEATURES:  3-Storey Townhouse 4 Bedrooms 5 Toilet and Bath 2 Car garage Maids room   LOT AREA: 103 sq.m FLOOR AREA: 265sq.m   Selling Price- 21,800,000   fees and other charges: Bank appraisal fee, registration, documentary, transfer   Nearby establishments:  RELIGIOUS CENTERS  St. Peter Chapels Commonwealth  Iglesia ni Cristo , Calle Siete Mary the Queen Parish  NATURE PARKS  La Mesa Eco Park  La Mesa Camp Site  Quezon Memorial Circle  Wild Life  MEDICAL INSTITUTIONS   Veterans Memorial Medical Center Philippine Heart Center  East Avenue Medical Center  Commonwealth Hospital and Medical Center  Fairview General Hospital  General Malvar Hospital  Far Eastern University Nicanor Reyes Medical Foundation  BUSINESS CENTERS  UP -Ayala Land TechnoHub  EDUCATIONAL INSTITUTIONS  Far Eastern University Diliman  School of the Holy Spirit  University of the Philippines Diliman  Ateneo de Manila University  National College of Business and Arts Fairview  OB Montessori  Claret School of Quezon City  School of the Holy Spirit Quezon City  Miriam College Diliman Preparatory School  OB Montessori  St. Anthony School of Quezon City  COMMERCIAL CENTERS  Puregold North Commonwealth  Wilcon Depot  Pearl Drive  Ayala Fairview Terraces SM City Fairview  SM City North Edsa  Trinoma Ayala Terraces Fairview  Shopwise  Puregold  Wilcon Builders  Ace Builders  For Site Viewing please call/ text GIO MATIAS",4,5,265,103,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/don-antonio-heights/airy-brand-new-house-lot-don-antonio-heights-q-c-p-171707124478/,HO5EF9805F5160EPH,"[121.076504,14.687194]",2,,DON ANTONIO HEIGHTS
Near New Manila Quezon City Townhouse For Sale 4 Car Garage 64.5M SD,64500000,"Bagong Lipunan Ng Crame, Quezon City","Bagong Lipunan Ng Crame, Quezon City  Details: 4 Storey Townhouse 4 Bedrooms ( Master's BR w/ WIC) 5 Toilet & Bath Maid's Room Driver's Room Living Area Dining and Kitchen Area Utility Kitchen Laundry Area 4 Car Garage  Unit B - Lot Area 150 sqm / Floor Area 484.59 sqm  TCP: 64,500,000 unfurnished 30% Down Payment: 19,350,000 Reservation: 1,000,000 Net DP: 18,350,000 70% Bank Loan: 45,150,000  Plus Miscellaneous Fee  #NewManilaTownhouse #TownhouseForSale #PropertyForSale #QuezonCityTownhouse #Investment #ElegantTownhouse #ModernTownhouse #MiyabiRealty #Miyabi #MetroManilaTownhouseForSale",4,5,484.59,150,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/near-new-manila-quezon-city-townhouse-for-sale-4-c-172983443636/,HO671B2DC4453B5PH,"[121.052143,14.60929]",4,,N/A
Exquisite Brand New House & Lot Tandang Sora Q.C. Philhomes - Gio Matias,22545000,"Tandang Sora, Quezon City","Project - 4 Storey Single attached  Location - Tandang Sora Quezon City        Lot area: 91 sqm  Floor area: 298.18 sqm    Selling Price: 22,545,000        House Features:    4 Storey Single attached Dining area Kitchen  Living area Balcony Powder room Master bedroom with Walk in closet and toilet and bath Family area 2 Bedrooms with own toilet and bath Balcony 2-3 Car garage Maids room with Toilet & bath Driver’s room Foyer Porch Service area",4,4,298,91,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/exquisite-brand-new-house-lot-tandang-sora-q-c-phi-170919493098/,HO5CBAAC6AA4257PH,"[121.042788,14.6820013]",3,,N/A
Stately Brand New House Greenview Village Q.C. Philhomes - Gio Matias,17500000,"Fairview, Quezon City","PROJECT - 3 Storey Duplex LOCATION - Greenview Executive Village Quezon City    LOT AREA- 90 sqm FLOOR AREA- 202 sqm   TCP: 17,500,000    PROJECT FEATURES:  * Three Storey Duplex * 3 Bedrooms * 3 Toilet & bath * Maids room with toilet & bath * Entertainment room * Multi purpose deck * Powder room * Dining area * Kitchen area * Service area * 2 Car garage    Nearby establishments:  RELIGIOUS CENTERS  St. Peter Chapels Commonwealth  Iglesia ni Cristo , Calle Siete Mary the Queen Parish  NATURE PARKS  La Mesa Eco Park  La Mesa Camp Site  Quezon Memorial Circle  Wild Life  MEDICAL INSTITUTIONS   Veterans Memorial Medical Center Philippine Heart Center  East Avenue Medical Center  Commonwealth Hospital and Medical Center  Fairview General Hospital  General Malvar Hospital  Far Eastern University Nicanor Reyes Medical Foundation  BUSINESS CENTERS  UP -Ayala Land TechnoHub  EDUCATIONAL INSTITUTIONS  Far Eastern University Diliman  School of the Holy Spirit  University of the Philippines Diliman  Ateneo de Manila University  National College of Business and Arts Fairview  OB Montessori  Claret School of Quezon City  School of the Holy Spirit Quezon City  Miriam College Diliman Preparatory School  OB Montessori  St. Anthony School of Quezon City  COMMERCIAL CENTERS  Puregold North Commonwealth  Wilcon Depot  Pearl Drive  Ayala Fairview Terraces SM City Fairview  SM City North Edsa  Trinoma Ayala Terraces Fairview  Shopwise  Puregold  Wilcon Builders  Ace Builders    For Site Viewing please call/ text GIO MATIAS",3,3,202,90,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/stately-brand-new-house-greenview-village-q-c-phil-172880947058/,HO5EEDCF100D8DDPH,"[121.06821,14.702178]",2,,Greenview Executive Village
"A Prime 4-Bedroom House and Lot for Sale in Filinvest 2, Quezon City",34000000,"Bagong Silangan, Quezon City","“Your Future HOME Awaits You”  Lot area: 240 square meters Floor area: 378 square meters  Property Features: · 4 Bedrooms · 1 Family Area · 5 complete fixtures Toilet and Bath · Service area · Maid’s Room with Toilet and Bath · Driver’s Room with Toilet and Bath · 2 Car Garage Additional Features of the Property: · Marine laminated built-in cabinets · Spacious walk-in closets · Open Layout modern finish Living and Dining area · Ventilated fully equipped kitchen · Open floor plan living & dining · Complete lighting fixtures · walk-in closet for the master’s bedroom · Landscape Garden · Enclosed service area · Gated Community with 24 Hours Security · Maynilad Water Supply · Roving Guards · Nice Location  Market Price: PHP 34,000,000.00 Strategic location. Property has a higher Appreciation Value in the future. Direct Buyer Only! Book a Viewing or Enlist your property with us, kindly contact: RAYMUND VIDAL Under PRC Licensed Broker No. 0022291",4,5,378,240,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/a-prime-4-bedroom-house-and-lot-for-sale-in-filinv-172992732158/,HO671C9899123DAPH,"[121.109668,14.703588]",2,,Filinvest 2 Subdivision
Stately Brand New House Greenview Village Q.C. Philhomes - Gio Matias,17500000,"Fairview, Quezon City","PROJECT - 3 Storey Duplex LOCATION - Greenview Executive Village Quezon City    LOT AREA- 90 sqm FLOOR AREA- 202 sqm   TCP: 17,500,000    PROJECT FEATURES:  * Three Storey Duplex * 3 Bedrooms * 3 Toilet & bath * Maids room with toilet & bath * Entertainment room * Multi purpose deck * Powder room * Dining area * Kitchen area * Service area * 2 Car garage    Nearby establishments:  RELIGIOUS CENTERS  St. Peter Chapels Commonwealth  Iglesia ni Cristo , Calle Siete Mary the Queen Parish  NATURE PARKS  La Mesa Eco Park  La Mesa Camp Site  Quezon Memorial Circle  Wild Life  MEDICAL INSTITUTIONS   Veterans Memorial Medical Center Philippine Heart Center  East Avenue Medical Center  Commonwealth Hospital and Medical Center  Fairview General Hospital  General Malvar Hospital  Far Eastern University Nicanor Reyes Medical Foundation  BUSINESS CENTERS  UP -Ayala Land TechnoHub  EDUCATIONAL INSTITUTIONS  Far Eastern University Diliman  School of the Holy Spirit  University of the Philippines Diliman  Ateneo de Manila University  National College of Business and Arts Fairview  OB Montessori  Claret School of Quezon City  School of the Holy Spirit Quezon City  Miriam College Diliman Preparatory School  OB Montessori  St. Anthony School of Quezon City  COMMERCIAL CENTERS  Puregold North Commonwealth  Wilcon Depot  Pearl Drive  Ayala Fairview Terraces SM City Fairview  SM City North Edsa  Trinoma Ayala Terraces Fairview  Shopwise  Puregold  Wilcon Builders  Ace Builders    For Site Viewing please call/ text GIO MATIAS",3,3,202,90,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/stately-brand-new-house-greenview-village-q-c-phil-172880947058/,HO5EEDCF100D8DDPH,"[121.06821,14.702178]",2,,Greenview Executive Village
Delightful Brand New House & Lot Greenview Village Q.C. Philhomes - Gio Matias,7800000,"Fairview, Quezon City","CUSTOMIZED PROJECT

PROJECT - GREENVIEW EXECUTIVE VILLAGE

Location - GREENVIEW EXECUTIVE VILLAGE
FAIRVIEW DAHLIA.,Q.C.

HOUSE FEATURES

2-Storey
3 Bedrooms
2 Toilet and Bath
1 Car Garage



LOT AREA: 90 sq.m
FLOOR AREA: 80 sq.m

Selling Price- 7,800,000

Sample Computation:

Selling Price : P 7,800,000 
20% Down Payment  : P 1,560,000
Less Reservation : P 50,000 
20% Net Dp : P 1,510,000 
Another 25%: 1,950,000 (18 months to pay: 108,333.33) 0 INTEREST 
55% bank balance : 4,290,000
Estimated 3-Year Fixed Term @ 7% Per annum 
15 Years To Pay : P 38,559.73 / Month 

LIFESTYLE HUBS NEARBY
HOSPITALS
700m Commonwealth Medical Center  
1.5 THe Medical City, SM Fairview 
2.9km Commonwealth General Hospital   

SCHOOLS
2.6 km OB Montessori Fairview 
3.2km Hope Christian School  
5.4km  School of Holy Spirit   
9,9km UP Diliman  
12.2km Mirriam College  
12.6km Ateneo De  Manila  

RELIGIOUS INSTITUTIONS
400m Shrine of St. Paul
2.7km Good Shepherd Cathedral  
1.2km Mary the Queen Church

SHOPPING AND DINING
1.0km SM FAIRVIEW
1.3km Ayala Fairview Terraces   
1.4km S & R Membership Shopping 
3.8km Wilcon Home Depot  
1.0km Robinsons Fairview 

OTHERS
1.0km Nearest MRT 7 Station Mindanao  Avenue 
6.0km  NLEX Entrance  via Smart Connect",3,2,80,90,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/don-antonio-heights/delightful-brand-new-house-lot-greenview-village-q-173137740677/,HO5F1BA6D556892PH,"[121.06821,14.702178]",1,446,GREENVIEW EXECUTIVE VILLAGE
Opportunity Brand New House & Lot West Fairview Q.C. Philhomes - Gio Matias,6830000,"Fairview, Quezon City","PROJECT - CYPRESS HOMES
  
Location - West Fairview Subd.,Quezon City 


HOUSE FEATURES

2-Storey 
3 Bedrooms
2 Toilet and Bath
1 Car Garage 


LOT AREA: 49.87 sq.m
FLOOR AREA: 84.58 sq.m



Selling Price- 6,830,000



Sample Computation:



Selling Price : P 6,830,000 
20% Down Payment : P 1,366,000
Less Reservation : P 30,000 
20% Net Dp : P 1,336,000 pay in 6-12 months zero interest 
80% bank balance : 5,464,000
Estimated 3-Year Fixed Term @ 7% Per annum 
15 Years To Pay : P 49.111.98/ Month 



Nearby establishments:



HOSPITALS



700m Commonwealth Medical Center  

1.5 THe Medical City, SM Fairview 

2.9km Commonwealth General Hospital  

SCHOOLS



2.6 km OB Montessori Fairview 

3.2km Hope Christian School  

5.4km School of Holy Spirit  

9,9km UP Diliman  

12.2km Mirriam College  

12.6km Ateneo De Manila  

RELIGIOUS INSTITUTIONS



400m Shrine of St. Paul

2.7km Good Shepherd Cathedral  

1.2km Mary the Queen Church


SHOPPING AND DINING


1.0km SM FAIRVIEW

1.3km Ayala Fairview Terraces  
1.4km S & R Membership Shopping 

3.8km Wilcon Home Depot  

1.0km Robinsons Fairview

OTHERS



1.0km Nearest MRT 7 Station Mindanao Avenue 

6.0km NLEX Entrance via Smart Connect",3,2,84,49,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/west-fairview-subdivision/opportunity-brand-new-house-lot-west-fairview-q-c-169087692240/,HO5CBA7C1234ED6PH,"[121.06821,14.702178]",1,446,West Fairview Subdivision
"Ready for occupancy, 4 bedrooms, 5 bathrooms, Luxury Duplex in Cubao Quezon City",76000000,"Bagong Lipunan Ng Crame, Quezon City","ORCHID ESTATES Luxury Duplex in Quezon City Located at Cubao Quezon City  Lot Area: 150 sqm more or less Floor Area: 450sqm more or less  Main features:  4 car garage 4 bedrooms 5 bathrooms Lanai Family Den Living Dining Kitchen Helps room Service Area Deck or Laundry Area Provision for Elevator   Ground Floor: 4 Car Garage, Foyer, Help's Room w/ T&B, Driver's Room w/ T&B, Laundry Area  Second Floor: Balcony, Living, Dining, Kitchen, Utility Kitchen  Third Floor: Master's Bedroom w/ WIC and T&B, Bedroom 1 w/ T&B  Fourth Floor: Bedroom 2 w/ T&B, Bedroom 3 w/ T&B, Open Area w/ T&B  Other features:  Fully Airconditioned  Multipoint Heaters  Motorized Pressure Tank  Built-In Cooktop & Oven  Door Chime  Intercom System  Cistern tank w/ pressure pump  Built-In Rangehood  Automatic Gate  Open Deck with T&B  Provision for Elevator   Nearby establishments Commercial Establishments: - Robinsons Magnolia - Greenhills Shopping Center - SM Hypermarket Cubao  Schools: - Xavier School - Immaculate Conception Academy - Jubilee Christian Academy - St. Paul University QC  Hospitals: - Cardinal Santos Medical Center - PNP Camp Crame General Hospital  Churches: - Our Lady of Mt. Carmel - Mary the Queen Parish - Santuario de San Jose",4,5,450,150,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/ready-for-occupancy-4-bedrooms-5-bathrooms-luxury-173112467041/,HO672EDDBE4B0D1PH,"[121.052143,14.60929]",N/A,N/A,Orchid Estates
Stately Brand New House & Lot Greenview Village Q.C. Philhomes - Gio Matias,7800000,"Fairview, Quezon City","CUSTOMIZED PROJECT  PROJECT - GREENVIEW EXECUTIVE VILLAGE  Location - GREENVIEW EXECUTIVE VILLAGE FAIRVIEW DAHLIA.,Q.C.  HOUSE FEATURES  2-Storey 3 Bedrooms 2 Toilet and Bath 1 Car Garage    LOT AREA: 90 sq.m FLOOR AREA: 80 sq.m  Selling Price- 7,800,000  Sample Computation:  Selling Price : P 7,800,000  20% Down Payment : P 1,560,000 Less Reservation : P 50,000  20% Net Dp : P 1,510,000  Another 25%: 1,950,000 (18 months to pay: 108,333.33) 0 INTEREST  55% bank balance : 4,290,000 Estimated 3-Year Fixed Term @ 7% Per annum  15 Years To Pay : P 38,559.73 / Month   LIFESTYLE HUBS NEARBY HOSPITALS 700m Commonwealth Medical Center  1.5 THe Medical City, SM Fairview  2.9km Commonwealth General Hospital   SCHOOLS 2.6 km OB Montessori Fairview  3.2km Hope Christian School  5.4km School of Holy Spirit  9,9km UP Diliman  12.2km Mirriam College  12.6km Ateneo De Manila   RELIGIOUS INSTITUTIONS 400m Shrine of St. Paul 2.7km Good Shepherd Cathedral  1.2km Mary the Queen Church  SHOPPING AND DINING 1.0km SM FAIRVIEW 1.3km Ayala Fairview Terraces  1.4km S & R Membership Shopping  3.8km Wilcon Home Depot  1.0km Robinsons Fairview   OTHERS 1.0km Nearest MRT 7 Station Mindanao Avenue  6.0km NLEX Entrance via Smart Connect",3,2,80,90,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/greenview-executive-village/stately-brand-new-house-lot-greenview-village-q-c-171946700720/,HO5CB9660AC517DPH,"[121.049276,14.695099]",1,446,GREENVIEW EXECUTIVE VILLAGE
Lush Brand New House & Lot East Fairview Q.C. Philhomes - Gio Matias,17500000,"Fairview, Quezon City","PROJECT - 2 Storey Single attached  Location - East Fairview Subdivision Quezon City   Selling Price- 17,500,000  LOT AREA: 120 sq.m FLOOR AREA: 230 sq.m   HOUSE FEATURES:  * 2-Storey Single attached * 4 Bedrooms * 4 Toilet and Bath * Kitchen area * Dining area * Living area * Maids room with toilet & bath  * Balcony * 2 Car Garage  * Service area",4,4,23,120,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/east-fairview-park-subdivision/lush-brand-new-house-lot-east-fairview-q-c-philhom-171525171675/,HO5B16446F3C62BPH,"[121.06821,14.702178]",2,446,East Fairview Park Subdivision
Ample Brand New House & Lot Edsa Congressional Q.C. Philhomes - Gio Matias,21300000,"Congressional Avenue, Quezon City","Edsa Congressional  PROJECT - 3 Storey Townhouse LOCATION - Project 8 Quezon City     LOT AREA- 87.90 sqm FLOOR AREA- 255 sqm     TCP: 21,300,000   PROJECT FEATURES:  * 3 Storey Townhouse * 3 bedrooms * 3 toilet & bath  * 2 Car garage * Maids room with toilet & bath * Pump room * Foyer * Porch  * Balcony * Dining area * Living area * Kitchen",3,3,255,87,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/greenview-executive-village/ample-brand-new-house-lot-edsa-congressional-q-c-p-172913425894/,HO5D19A0FB091BEPH,"[121.031,14.66588]",2,,N/A
Inviting Brand New House & Lot Sacred Heart Village Q.C. Philhomes - Gio Matias,25000000,"Novaliches, Quezon City","H House is a modernist two-story residence at Quezon City defined by concrete, industrial aesthetics, and minimalist design philosophy on it's spacious bedrooms and large four car garage.  Brand New Two Story House and Lot, Sacred Heart Village, Quezon City, Philippines  Total Contract Price : 25,000,000  Lot Area: 306sqm Floor Area: 326sqm 4 Bedrooms 4 Toilet and Bath 1 Office/Gym Room 4 Car Garage  Other inclusions: 1 Walk-in Closet 1 Helper's Room Laundry Room Battery room for Solar/Server Room 1 Storage Room 1 Service Toilet 4 Car Garage",4,4,326,306,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/inviting-brand-new-house-lot-sacred-heart-village-172975204143/,NO538HO03YTWINTRESPH,"[121.0521,14.7214]",4,,SACRED HEART VILLAGE
Stunning Brand New House & Lot Greenview Dahlia Q.C. Philhomes - Gio Matias,7800000,"Fairview, Quezon City","CUSTOMIZED PROJECT  PROJECT - GREENVIEW EXECUTIVE VILLAGE  Location - GREENVIEW EXECUTIVE VILLAGE FAIRVIEW DAHLIA.,Q.C.  HOUSE FEATURES  2-Storey 3 Bedrooms 2 Toilet and Bath 1 Car Garage    LOT AREA: 90 sq.m FLOOR AREA: 80 sq.m  Selling Price- 7,800,000  Sample Computation:  Selling Price : P 7,800,000  20% Down Payment : P 1,560,000 Less Reservation : P 50,000  20% Net Dp : P 1,510,000  Another 25%: 1,950,000 (18 months to pay: 108,333.33) 0 INTEREST  55% bank balance : 4,290,000 Estimated 3-Year Fixed Term @ 7% Per annum  15 Years To Pay : P 38,559.73 / Month   LIFESTYLE HUBS NEARBY HOSPITALS 700m Commonwealth Medical Center  1.5 THe Medical City, SM Fairview  2.9km Commonwealth General Hospital   SCHOOLS 2.6 km OB Montessori Fairview  3.2km Hope Christian School  5.4km School of Holy Spirit  9,9km UP Diliman  12.2km Mirriam College  12.6km Ateneo De Manila   RELIGIOUS INSTITUTIONS 400m Shrine of St. Paul 2.7km Good Shepherd Cathedral  1.2km Mary the Queen Church  SHOPPING AND DINING 1.0km SM FAIRVIEW 1.3km Ayala Fairview Terraces  1.4km S & R Membership Shopping  3.8km Wilcon Home Depot  1.0km Robinsons Fairview   OTHERS 1.0km Nearest MRT 7 Station Mindanao Avenue  6.0km NLEX Entrance via Smart Connect",3,2,80,90,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/greenview-executive-village/stunning-brand-new-house-lot-greenview-dahlia-q-c-171929156537/,NO538HO45POWINTRESPH,"[121.06821,14.702178]",1,,Greenview Executive Village
Romantic Brand New House & Lot Casa Milan Q.C. Philhomes - Gio Matias,49000000,"Novaliches, Quezon City","BRANDNEW HOUSE & LOT FOR SALE? Casa Milan Subdivision Neopolitan, Fairview- Commonwealth, Quezon City  TCP : P49,000,000  RFO Lot Area: 300 sqm Floor Area: 400+ sqm Approximately   ?House details: •5 Bedrooms with walk in closet and bathroom. Furnished with split type AC •Master's Bedroom has 2 split type ACs(one for the walk in and the other one for the room itself) •1 Family room with split type AC •1 Maid's Quarter with T&B •Receiving Area furnished with 2 split type AC  •Formal Kitchen furnished with split type AC •Dirty Kitchen •Laundry Area •1 Powder Room •1 storage room •Lanai Area with falls •Garden •Terrace •2 car Garage  ?Inclusions: Automatic Electronic Gate Aircon(10) Built in Microwave, oven, gas range and hood Refrigerator  CCTV  Digital door lock  Chandelier",5,5,400,300,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/casa-milan/romantic-brand-new-house-lot-casa-milan-q-c-philho-172310481831/,NO538HO78KUJINTRESPH,"[121.0521,14.7214]",2,,CASA MILAN
Superior Brand New House & Lot Congressional Q.C. Philhomes - Gio Matias,19600000,"Congressional Avenue, Quezon City","Lot area: 107 sqm Floor area: 242.47 sqm   Sample computation:  Selling price: 19,600,000 30% Downpayment: 5,880,000 Less reservation fee: 500,000 30% Net downpayment: 5,380,000 70% bank balance: 13,720,000 Estimated 3yrs fixed term @ 7% per annum 5 yrs to pay: 271,672.44 / month 10 yrs to pay: 159,300.83 / month 15 yrs to pay: 123,319.24 / month 20 yrs to pay: 106,371.01 / month   Other charges: 250-300k Transfer Fees",3,2,242,107,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/dona-sotera-townhomes/superior-brand-new-house-lot-congressional-q-c-phi-171998844783/,HO5CB96F47A50DCPH,"[121.031,14.66588]",1,,Doña Sotera Townhomes
